Michael Card,Will You Not Listen?
Marky Ramone,Rock & Roll High School
Ian Brown,Golden Gaze
Peasant,Tough
Zeigeist,Bunny
Tyrone Wells,What Are We Fighting For?
XX Teens,The Way We Were
Primitive Radio Gods;C. O'Connor,Skin Turns Blue
Black 47,Maria's Wedding
Austrian Death Machine,Come on_ Do it_ Do it_ Come on_ Come on_ Kill me_ Do it Now (from Predator)
Agent Orange,This Is Not The End (Album Version)
The Pussycat Dolls,Whatchamacallit
ZZ Top,TV Dinners (LP Version)
Gene Kelly,You Were Meant For Me
Jeff And Sheri Easter,Hear My Heart
Steve Miller Band,Little Girl (Digitally Remastered 90)
Kid Sister,Daydreaming (Feat. Cee-Lo)
Young Bleed,Mo Money (Explicit)
Maldita Nerea,Cariño Yo Solo Quiero Llamar
Chris Rock,Fat Black Women
Lincoln Brewster,Love The Lord
Spinal Tap,Big Bottom
DL Incognito,Fall Back (Feat. Mic Check)
God Module,The Source
Leftfield,Open Up
Celso Piña y su Ronda Bogotá,Cumbia poder
Erlend Øye,Ghost Trains
Stampin´ Ground,Pain Is Weakness (leaving The Body)
Tricky,Abbaon Fat Tracks
Me First And The Gimme Gimmes,What I Did For Love
Peter Brown,Love In Our Hearts
Luka Bloom,Throw Your Arms Around Me
Karamelo Santo,Haciendo Bulla
The Game feat. Juelz Santana & Jim Jones,The Game (featuring Juelz Santana & Jim Jones)
Wyclef Jean featuring Small World,Thug Angels
La Castañeda,La Cabeza
Johnny Dowd,I Don't Exist
Slick Rick,Treat Her Like A Prostitute
Air,J'ai Dormi Sous L'eau Chateau Flight Remix
LL Cool J,Mr. Good Bar
Sondre Lerche And The Faces Down,Tragic Mirror
Mark Chesnutt,I'm a Saint
Sean Paul,Next Generation
James Hunter,Strange But True
Wolfmother,Pilgrim
K's Choice,To This Day
Jars Of Clay,Liquid
David Lee Roth,Perfect Timing (Album Version)
Evergrey,In remembrance
Eluveitie,Anagantios
Solex,The Dot On The I Between The H And The T
Anneli Drecker,You Don't Have To Change (Lindstrom Remix)
Prefuse 73,The End of Biters - International
Fabrizio De Andrè,Creuza De Ma
Me First And The Gimme Gimmes,I'm So Lonesome I Could Cry
9 Lazy 9,The Herb
Kronos Quartet,String Quartet No. 4 (Buczak): II.
Spitalfield,Hold On (Album Version)
Foghat,Be My Woman
Le Tigre,Nanny Nanny Boo Boo
Soilwork,Machine Gun Majesty
Aerosmith,Sight For Sore Eyes
Diamond Rings,Wait & See
Onslaught,Shellshock
Story Of The Year,Ten Years Down
Devo,Puppet Boy (LP Version)
Atomic Rooster,Space Cowboy
Aphex Twin,73-Yips
Monsters of Liedermaching,Blasenschwäche
King Changó,French Lady
Common / Cee-Lo,A Song For Assata
TV Ghost,Bastille
Dave Alvin,Amanda
Jenny Wilson,Porcelain Castle
Sangre Azul,Si Tu Te Vas
Buckethead & Friends,Running From the Light
Andrew Jackson Jihad,Bad Bad Things
Mau Mau,Maké Manà
Mistaman,Parole
Young Bleed,The Day They Make Me Boss (Explicit)
Klaxons,Gravity's Rainbow (Soulwax Remix)
Rolf Harris,Maximillian Mouse
Yellowcard,When We're Old Men
The Vandals,Little Weirdo
Five Horse Johnson,Ten-Cent Dynamite
The Breeders,Metal Man
Soft Cell,Where The Heart Is
Impious,Hellucinations
Lighthouse Family,It's A Beautiful Day
Galactic,Bacchus (featuring Allen Toussaint)
Platero Y Tu,Estas Solo
Magnolia Electric Co.,Talk To Me Devil. Again (Master)
Papas Fritas,Way You Walk
Channels,Disconnection Day
Nazan Öncel,Gül Pansiyon
Eagles,Hollywood Waltz (LP Version)
Tin Tin Out,Always Something There To Remind Me (Piano Intro)
Jonny Greenwood,Splitter
Les Savy Fav,Kiss Kiss Is Getting Old
Gare du Nord,Où Est Ton Singe? / Where Is Your Monkey?
Jamie Lidell,Little Bit of Feel Good
Camera Obscura,Arrangements Of Shapes And Space
Discount,K.V. T-shirt
Alison Krauss / Union Station,Beaumont Rag
Toño Rosario,Barbara
Seymour Bits,All Alone
Box Car Racer,Elevator
Skizoo,¿Donde Estas?
Bolt Thrower,This Time Its War
Great Lake Swimmers,I Became Awake
James Taylor,Honey Don't Leave L.A.
James Blake,Sparing The Horse
Van McCoy,My Favorite Fantasy
Phantom Planet,Big Brat
Owen Pallett,Flare Gun
EP,Even Better Yet
The Detroit Cobras,My Baby Loves The Secret Agent
The Young Punx,MASHitUP Shir Khan Mix
Solitude Aeturnus,Idis
OV7,Te Necesito
Evangelicals,The Evening Descends
Keren Ann,Road Bin
La Portuaria,La Grieta(En Vivo)
Johnossi,Rescue Team
Nik Freitas,Sophie
Luscious Jackson,Naked Eye
Dismemberment Plan,Since You Died
Redemption,Nocturnal (live)
Everclear,Science Fiction
Katherine Jenkins,Time To Say Goodbye
Enter Shikari,Today Won't Go Down In History
Cattle Decapitation,Cream Of The Crop
Willie Dixon,Little Red Rooster
Pavement,No More Kings
David & The Citizens,To Keep You Safe From Harm & Trouble
Brian Culbertson,Escape
Of Montreal,My British Tour Diary (LP Version)
Hassisen Kone,FÜHRERIN PUOLESTA
Fluke,Electric Blue
Plies featuring 40rty,Ain't Slippin (featuring 40rty) (Explicit Album Version)
Simon & Garfunkel,Peggy-O
Scarlett Johansson,Green Grass
Zombie Nation,Get It
Kyuss,Love Has Passed Me By (Explicit LP Version)
Fela Kuti,Black Man's Cry
Ours,Kill The Band
Marky Ramone,I Wants My Beer
Juice Newton,Country Comfort
Gorod,Here Die Your Gods
Kansas,Got To Rock On
Keren Ann,Seventeen
Arthur Russell,You And Me Both
Blitzen Trapper,Big Black Bird (Album)
Buffalo Springfield,Nowadays Clancy Can't Even Sing (LP Version)
Firewind,Mercenary Man
Los Pericos,Jamaica Reggae
La Castañeda,La Ventana
Son By Four,Sofía
Dub Pistols feat. Terry Hall,Rapture (Original Extended Version)
K-OS,Astronaut
Ziggi feat. Gentleman,A Better Way
Totta Näslund,Tung Längtan
Moving Ninja,Shellcode
Purple Schulz,Solche Tage
Pulp,Live Bed Show
Michael Jackson with Akon,Wanna Be Startin' Somethin' 2008 with Akon
Thermostatic,Private Machine (Mesh Rmx Intrumental)
Alejandro Fernandez,Promesa
Cheikh Lô,Zikroulah
Marc Ribot,Dark Was The Night_ Cold Was The Ground
Los Tres,Hagalo Usted Mismo
The New Cities,Modern Ghosts
Anja Schneider,Belize
Soft,Droppin'
Bouncing Souls_ The,These Are The Quotes From Our Favorite 80's Movies
Lucie Silvas,Without You
Tevin Campbell,Stand Out
Martin Grech,Holy Father Inferior
Unearth,Giles
The Jon Spencer Blues Explosion,She Said
Liam Clancy,Yarmouth Town
Talking Heads,A Clean Break (Let's Work) (Live Remastered & Expanded Version)
Alejandra Guzmán,Bellísima
No Fun At All,Second Best
Stellar Kart,Activate (Album Version)
Blue Sky Black Death,Smoking Room
Fischerspooner,Wednesday
Sisters Of Mercy,When You Don't See Me
Sam Roberts,A Stone Would Cry Out
Of Montreal,Nonpareil Of Favor
Jamal,Mantra
Liah,Tudo Que Eu Sempre Quis
Pete Philly & Perquisite,Hectic
Ali Farka Touré_ Toumani Diabaté,Kala Djula
Magic Sam,What Have I Done Wrong
Fucked Up,Royal Swan
Eternal Tears Of Sorrow,Diary Of Demonic Dreams
Burt Bacharach,The Look Of Love
Entwine,Surrender
Paatos,Shame
Charlie Winston,Soundtrack To Falling In Love
Lady Saw,Big Up
Mountain,Back Where I Belong
Turbonegro,Young Boys Feet
Ricky Valance,I Want To Fall In Love
DJ Jean,Supersounds
Mustasch,Dogwash
Boy Hits Car,A Letter From Prison
Biz Markie,Like a Dream Feat. Lil' Kal
Aborted,Ornaments Of Derision
Anarbor,The Whole World
1200 Micrograms,Two (Numberstruck)
Sarah Slean,Mary
Greg Adams,Wrapped Around Your Finger
Ice Cube,Fuck 'Em (Insert) (Explicit)
Shriekback,The Shining Path
Lara & Reyes,Baghdad
Minticco,Think of You
Sarah McLachlan,Don't Give Up On Us
Ultravox,Dream On
The Killers,All These Things That I've Done
Laura Izibor,Carousel (PSILY Album Version)
Lagwagon,Child Inside
Silverchair,Waiting All Day
The Police,Low Life
Fun Lovin' Criminals,What Had Happened?
Broken Social Scene,Almost Crimes (Live at Radio Aligre FM_ Paris)
The Herbaliser,A Little Groove
The Format,Oceans
Spahn Ranch,Destruction
George Thorogood & The Destroyers,Homesick Boy
Jonatha Brooke,Steady Pull (Album Version)
Tomte,Dein Herz sei Wild
The Walkabouts,Grand Theft Auto
The Clovers,Don't You Know I Love You
Keziah Jones,Lagos vs New York
DJ Vadim,SD4
Paul Oakenfold,Swing It
Vex'd,Killing Floor
Ingrid Michaelson,Little Romance
Unshine,Rowena's Song
Culture Shock,Gears
The Datsuns,At Your Touch
Victor Jara,La Flor Que Anda De Mano En Mano (2001 Digital Remaster)
Dark Sanctuary,L'emprisonnée
Iggy Pop,Innocent World
Sir Neville Marriner,Ancient Airs and Dances (1996 Digital Remaster)_ Suite No. 2: I.    Laura Soave:  Balleto con gagliarda_ saltarello e canario (Fabrizio Caroso)
Esbjörn Svensson Trio,Providence
Habib Koite,Nta Dima
Moby,Forever
Genghis Tron,The Feast
California Sunshine,The Fleg
Bouncing Souls,Sounds Of The City
Benga,Someone 20
Patrick Wolf,Enchanted
Easy Star All-Stars,Like The Stars
Fujiya & Miyagi,Knickerbocker
1 Mile North,Life Indoors
Rose Funeral,Created To Kill
Aerosmith,No More No More
Nothingface,Hitch (Full-Length)
Rakim,How I Get Down
Bad Religion,Bad Religion (Album Version)
Finch,The Casket Of Roderic Usher
Xzibit Featuring The Golden State Project,Harder
The Chantels,Every Night (I Pray)
Amber,Anyway (Men Are from Mars)
ARRESTED DEVELOPMENT,In The Sunshine
Blood Red Shoes,Say Something_ Say Anything
Emily Jane White,Sleeping Dead
The Measure (SA),How to Thrash a Million
Lee Perry,Hip Hop Reggae
Sesto Sento,Glory
Baroness,Jake Leg
Martinho Da Vila,Quem Ta Com Deus Nao Tem Medo
The Most Serene Republic,Relative's eyes
XIU XIU,Support Our Troops OH!
Thompson Twins,Tokyo
Mull Historical Society,Len
Alabama,Angels Among Us
Lesley Garrett,When I Fall In Love
Three Drives,Greece 2000
Los Twist,El Rey
The Spill Canvas,3685 (LP Version)
Finn Brothers,Nothing Wrong With You
Mau Mau,Mamanera
Frank The Baptist,Propellered Hearts
Exposé,I'LL SAY GOOD-BYE FOR THE TWO OF US
Iggy And The Stooges,I Got Nothin'
Guns N' Roses,Prostitute
Strung Out,Cemetery
Robbie Nevil,Wot's It To Ya
Joy Electric,C Minor Miners  (Tick Tock Treasury Album Version)
Third Day,Blackbird (live in St. Louis_ Missouri 1998)
Dolly Parton,Jesus & Gravity
Alejandro Escovedo,Sex Beat
Robin Trower,Passion
Badly Drawn Boy,The Further I Slide
Voxtrot,Firecracker (Radio Edit)
Rave Allstars,Ich Brauch Sound_ Ey
Filter,It's Over
Rufus Wainwright,Tulsa
Alaska Y Los Pegamoides,Horror En El Hipermercado
Layo & Bushwacka,Love Story
Alberta Cross,Devil's All You've Ever Had
Fun Boy Three,The Telephone Always Rings
Screwed Up Click,3-Some - Screwed (feat. 3-2_ A-2 & Top Dollar)
Melvins,Magic Pig Detective (LP Version)
The Kilimanjaro Darkjazz Ensemble,Rivers Of Congo
Sondre Lerche And The Faces Down,She's Fantastic
Cabaret Voltaire,Silent Command
Avishai Cohen,De Ye Tan Di
Of Montreal,Noir Blues to Tinnatus
Moving Units,Anyone
Annie,Me Plus One
Claude Nougaro,Lady Liberty
Neva Dinova,Yellow Datsun
Aimee Mann,Mr. Harris
Evangelicals,Here Comes Trouble
Ariane Moffatt,Terminus
Dan The Automator,Catch Me
Ben Folds Five,The Ultimate Sacrifice (Live)
Fred Neil,The Water Is Wide (LP Version)
Electrik Red,Friend Lover
Louis Armstrong,I Was Doing All Right
Moving Units,Available
Nick Cave & The Bad Seeds,Up Jumped The Devil (2010 Digital Remaster)
Tangerine Dream,remote viewing (LP Version)
Eazy-E,Nobody Move (Edited) (2002 Digital Remaster)
Vader,Black Metal
The Kilimanjaro Darkjazz Ensemble,Vegas
Isbells,Dreamer
Hidrogenesse,Vamos A Salir Del Siglo
Tom T. Hall,I Like Beer
Irma Thomas,Long After Tonight Is All Over (1992 Digital Remaster)
Donald Fagen,I.G.Y. (Album Version)
Chevelle,Until You're Reformed
Venom,Stab U In The Back
Pescado Rabioso,Todas Las Hojas Son Del Viento
Chris Tomlin,On Our Side
Erdmöbel,Das Modell
Mark Heard,House Of Broken Dreams
Broadway Calls,Basement Royalty
James LaBrie,Freaks
Bernard Fanning,Sleeping Rough
Jon McLaughlin,Anthem For American Teenagers
XIU XIU,Bunny Gamer
Blur,Magic America
Stevie Ray Vaughan And Double Trouble,Don't Lose Your Cool
Vienio & Pele,Nigdy Wiecej
Fedde Le Grand,Scared Of Me feat. Mitch Crown
Down Low feat. La Mazz,Wouldn't It Be Good
Mando Diao,How We Walk
Beck,Last Night I Traded My Souls Innermost For Some Pickled Fish
Fountains Of Wayne,'92 Subaru
Jonas Hellborg,Mirror
Guy J,Love is not alone
Gang Starr,The Illest Brother
Devo,Enough Said
The Cribs,Last Year's Snow
Joni Mitchell,Bad Dreams
Lendakaris Muertos,El problema vasco
Joe Bonamassa,Long Distance Blues
Terri Clark,No Fear
Newton Faulkner,Mama Do (Uh Oh_ Uh Oh)
Tristeza,I am a Cheetah
Hocico,The Day the World Stopped
Willie Hutch,Brother's Gonna Work It Out
7 Seconds,We're Gonna Fight
Young Jeezy,Bananas
Pnau,Enuffs Enuff
The Bug Featuring Flowdan,Jah War
The Feeling,We Can Dance
Iron Butterfly,Unconscious Power (LP Version)
autoKratz,The Idiots Are Winning
The Album Leaf,The Light
Serena Ryder,And Some Money Too
The Pogues,Train Kept Rolling On
the bird and the bee,I'm Into Something Good
Suzi Quatro,Angel Flight
10_000 Maniacs,These Are Days [MTV Unplugged Version]
The Datsuns,Lady
Su ta gar,Segi_ segi
Hellhammer,Metallic Storm
Kix,The Itch  (LP Version)
Incredible Bongo Band,Let There Be Drums
Jonathan Richman,This Romance Will Be Different For Me (Album Version)
End Of Fashion,Love Comes In (Album Version)
Gazpacho,Partir
Chico Buarque,A Noiva Da Cidade
Violent Femmes,Freak Magnet (Album Version)
The Zombies,Girl Help Me
Courtney Love,But Julian_ I'm A Little Bit Older Than You
The Feeling,Strange
Sunset Rubdown,Us Ones In Between
Melody Club,Fever Fever
Oumou Sangare,Seya
Slick Rick,The Moment I Feared
Lush,Cul De Sac
Victoria Beckham,Unconditional Love
The Cardigans,Travelling With Charley
Cryptopsy,Graves Of The Fathers
Britney Spears,I'm So Curious
The Reverend Peyton's Big Damn Band,Mud
Texas,Sunday Afternoon
Carbon Leaf,Grey Sky Eyes
Buffalo Springfield,Burned [Mono]
Reincidentes,Aprendiendo A Luchar
Nevermore,Inside Four Walls
Spirit of the West,Far Too Canadian
The Ocean,Epiphany
Badly Drawn Boy,40 Days_ 40 Fights
The Exies,On The Brighter Side
Zumpano,Platinum Is Best Served Cold (Album)
Eric Burdon,I don't mind
The Thermals,Back to Gray (Album)
Tyrone Wells,Enough
Daler Mehndi,Hum Dil Ke Hain Kamzor
Dre,Movement
Vanessa Daou,Fugue States
Jonny Greenwood,Convergence
Eric Burdon,I used to be an animal
The Dismemberment Plan,Onward_ Fat Girl
OutKast,Aquemini
Dakis,Taka Takata (2005 Digital Remaster)
Mogwai,Yes! I Am A Long Way From Home
Full Moon Fashions,Closer
Alex Gopher,The White Lane
Alex Harvey Band,Fanfare
Happoradio,Ruumiinavauspöytäkirja
Songs:Ohia,John Henry Split My Heart
Anoushka Shankar and Karsh Kale,PD7
Ayria,Substance
Ellen Allien,She Is With Me
Blood_ Sweat & Tears,Mama Gets High
E-Rection,Out Here We Are Stoned
The Sight Below,Already There
Bruce Dickinson,Dreamstate
Oxide And Neutrino,Devil'S Nightmare
Kris Kristofferson,Please Don't Tell Me How The Story Ends
Martin Sexton,My Faith Is Gone
Aimee Mann,Have Yourself a Merry Little Christmas
Why?,A Little Titanic
Long Distance Calling,The nearing Grave
The Good Life,Empty Bed
Queensryche,The Mission
Woods,Hunover
The Grascals,Sweet By And By
Jim Jones & Ron Browz featuring Juelz Santana,Pop Champagne
Seven Witches,Atlantis
David & The Citizens,Out of My Hands
Antibalas,Hilo
Reel 2 Real,Jazz It Up (Erick 'More' Morillo Club Mix)
Equilibrium,Ruf in den Wind
The Mermen,Splashin' With The Mermaid
Maldita Nerea,Que no es verdad
Jamie Woon,Wayfaring Stranger
Linkin Park,Faint (Live In Texas)
The Vandals,And Now We Dance
The Sea and Cake,Parasol
Mansun,She Makes My Nose Bleed
DMX Krew,Good Time Girl
Super Furry Animals,Down A Different River
Garbage,Parade
Shinedown,One [Clear Channel Stripped]
Enter Shikari,Step Up
Laleh,12
Paris Combo,High Low In
Norman Brown,Rain (Remix) (Vesta Williams Mix)
Michael Nyman,Chasing Sheep
Charlelie Couture,Jacky
Violent Femmes,World We're Living In
Neneh Cherry,Red Paint
Extreme,Wind Me Up
Element 101,Galaxy Apart_ A
Harpers Bizarre,Knock On Wood (Album Version)
cLOUDDEAD,Dead Dogs Two (Boards of Canada remix)
The Breeders,Mad Lucas
Kumbia Kings,La Cucaracha (Feat. DJ Laz & Pit Bull) (Miami Bounce Mix)
CKY,Hellions On Parade (Album Version)
Keziah Jones,Hidetheology
Pet Shop Boys,One In A Million (2001 Digital Remaster)
The Groundhogs,Amazing Grace (2003 Digital Remaster)
The Blind Boys Of Alabama,Welcome
Maserati,Synchronicity IV
Ariane Moffatt,La Barricade
Handsome Furs,Thy Will Be Done (Album)
EVERMORE,Throwitaway
Dead Kennedys,A Child and His Lawnmower
The Meters,All I Do Everyday
Billy Idol,Merry Christmas Baby
Moby,I Like It
12012,cheeky doll
The Fiery Furnaces,Spaniolated
Pixie Lott,Nothing Compares
Lord Jamar,Original Man
Jarabe De Palo,Mi diario personal
The American Breed,Bend Me_ Shape Me
Lucinda Williams,Plan To Marry
Jaheim,Ready_ Willing & Able (Album Version)
Guy,Spend The Night
Atlas Sound,Washington School
Michel Camilo,Blue Bossa
Eav Kay,Scream
Youth Group,Start Today Tomorrow
Julia Fordham,Girlfriend
Norman Brown,Up 'N' At 'Em (Album Version)
Lucinda Williams,Metal Firecracker
Keziah Jones,New Brighter Day
Millie Jackson,Kiss You All Over
Violent Femmes,Agamemnon (LP Version)
Pallas,Blood and roses
Rob Crow,Wants/Needs
Ronan Keating,Superman
Scary Kids Scaring Kids,Free Again
Falling Up,Islander
Grant Green,Grant's Tune
Cara Dillon,False_ False
DEW-SCENTED,Contradiction
Purple Schulz,Gemeinsam
Bass Junkie,Deep Bass Matrix
Itzhak Perlman/Samuel Sanders,Malagueña_ op.165 No.3 (2002 Digital Remaster)
Karen O And The Kids,Food Is Still Hot
moe.,Rebubula
Woods,Til the Sun Rips
Cock Sparrer,What's It Like To Be Old
The Perishers,On My Way Home
The Stills,Retour A Vega (Album Version)
Shawn Colvin,You're Gonna Make Me Lonesome When You Go
John Hiatt,Wrote It Down And Burned It
Fernando Delgadillo,Vuelos
Nick Cave & Warren Ellis,Cowgirl
Felix Da Housecat,Rocket Ride (Soulwax Rock It Right Remix)
Steve Miller Band,The Lovin' Cup (1990 Digital Remaster)
Built To Spill,Shameful Dread
Voxtrot,The Future Pt. 1
Gob,ExShuffle
Purple Schulz,Durch Ruinen
Pretty Boy Floyd,Saturday Nite
Ellen Allien & Apparat,Jet
Mr. Capone-E,Where You Come From [Instrumental]
Adham Shaikh,Sabaddub (feat. Catherine Potter and Jean-Marc)
Strawbs,Barcarole (For The Death Of Venice)
Mau Mau,Per Amor
fat jon,cold memory
Purple Schulz,Wenn Der Tiger Lächelt
The Polyphonic Spree,Love My Way
Subtle,The Mercury Craze
Finch,Untitled
Nick Cave & Warren Ellis,Another Rather Lovely Thing
Jamie Lidell,Hurricane
The Stills,The Mountain (Album Version)
Equilibrium,Heimdalls Ruf
Os Paralamas Do Sucesso,Meu Erro/Soul Sacrifice
Thee Silver Mt. Zion Memorial Orchestra & Tra-La-La Band,Could've Moved Mountains...
LANDA DANIEL,KDYBY (LIVE)
Panic At The Disco,She Had The World [Alternate Version]
Antony & The Johnsons,Twilight
Ben Harper,Welcome To The Cruel World
Fat Jon,Where
Eric Burdon,Devil slide
Starfield,Glorious One (Beauty In The Broken Album Version)
John Frusciante,Cut-Out (Album Version)
Avishai Cohen,Shay Ke
Five Horse Johnson,Call Me Down
Screw 32,Painless
Tall Dwarfs,Skin Of My Teeth
Melocos,Tu Te Vas
Creed,Bread Of Shame
Aloha,I Don't Know What Else To Do (LP Version)
Extreme,Leave Me Alone
Bobby Valentino,Never Lonely
Speedstar*,Piano Song (Sometimes)
Gravenhurst,Hourglass
Extreme,He-Man Woman Hater
Loco Dice,Flight LB 7475
Daniel Johnston,Everlasting Love
Drowning Pool,Alcohol Blind
The Meters,Talkin' 'bout New Orleans
Richard Hawley,Last Orders
Type O Negative,These Three Things
Imperia,Broken Wings
Jennifer Lopez,Love Don't Cost A Thing
Alien Ant Farm,Bug Bytes
Swami,Break
L'Trimm,Cars With The Boom
Xploding Plastix,Happy Jizz Girls
The Warren Brothers,Guilty
Titus Andronicus,Theme from "Cheers
Clearlake,Widescreen
David & The Citizens,The End
The Ballistic Brothers,Uschi's Groove
Stacey Kent,Ces Petits Riens
Fat Boys,Baby You're A Rich Man
Steppenwolf,Hippo Stomp
The Cardigans,Great Divide
Lucie Silvas,Seven Veils
The Wiseguys feat. Sense Live|Tito-T|Mr Mojo|Season,Production
Trueby Trio,A Go Go (Video Edit)
King's X,Black Flag (LP Version)
Kylesa,What Becomes an End
Body Count,Down In the Bayou
Arturo Sandoval,Cherokee
A Place to Bury Strangers,Missing You
Milla Jovovich,Ruby Lane
UGK Featuring Charlie Wilson,How Long Can It Last
In-Grid,Accordeonist
Ben Folds Five,Emaline
Rivers Cuomo,Don't Worry Baby
The Ataris,Four Chord Wonder
Left/Right,Shaman
Lee Perry,Holyness_ Righteousness_ Light
Chris Isaak,Wild Love (LP Version)
Oxmo Puccino - Intouchable,Les Raisons Du Crime
Duquende,Pienso En Ti
